norm,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
oval,0.011130688899394043,0.0018909278439125017,0.0,0.0,0.0,0.004340538914435515,0.025613477158451158,0.06605354763848897,0.11324079247066914,0.0861661437964674,0.03966650908934634,0.0317160170183506,0.03524001890927844,0.03945163092526537,0.03708797112037475,0.04379216983970089,0.05999398341140573,0.09914478490695776,0.10232498173535605,0.0658816451072242,0.04155743693325884,0.03545489707335941,0.03377884739352787,0.026472989814775024
oxford circus,0.0054975027178013084,0.0009942703719035442,0.0,0.0,0.0,0.001976934474874362,0.01217497611042978,0.03850573156247461,0.08241998444759963,0.08052429385525435,0.049810237502949925,0.046401863193039336,0.0526769859293333,0.05451851393332585,0.05529613395181851,0.06210127630270697,0.07377331409271862,0.0982238539776618,0.09847919189418178,0.06366038509600319,0.04508261729101946,0.03392899284666958,0.02691106889868114,0.017041871549552966
paddington,0.004217171555816821,0.00014057238519389406,0.0,0.0,0.0,0.0022299892014849554,0.02077276473933407,0.06697635189101807,0.11348664242857964,0.08495683788809161,0.05261240998575107,0.04293847402286218,0.04399276691181639,0.04345603598653061,0.04497677360817365,0.053468623604659336,0.07236283010549319,0.10741008159587995,0.09917381775429225,0.05350057187402158,0.03233803824846808,0.02437013986952327,0.02155230251177294,0.015066803831236462
park royal,0.00621793875330328,0.000466345406497746,0.0,0.0,0.0,0.006839732628633608,0.03653039017565677,0.08689569407741334,0.13166485310119697,0.06979636250582932,0.03653039017565677,0.0310896937665164,0.029846106015855745,0.0327996269236748,0.03559769936266128,0.048655370744598164,0.07694699207212809,0.12544691434789368,0.0959117052697031,0.05285247940307788,0.03217783304834448,0.02487175501321312,0.021918234105394063,0.01694388310275144
parsons green,0.005256593014967926,0.0002227369921596579,0.0,0.0,0.0,0.002316464718460442,0.021338203848895225,0.10709194583036351,0.15511404133998574,0.07172131147540983,0.035281539558089804,0.02993585174625802,0.032875980042765506,0.03367783321454027,0.032475053456878115,0.048423022095509624,0.0633464005702067,0.09337134711332858,0.10401817533856023,0.06615288667141839,0.03398966500356379,0.02490199572344975,0.023342836778332144,0.015146115466856735
perivale,0.006981016533986528,0.0004898958971218616,0.0,0.0,0.0,0.01090018371096142,0.06135946111451317,0.10961420698101654,0.11475811390079609,0.06527862829148806,0.03306797305572566,0.026821800367421923,0.027066748315982853,0.03306797305572566,0.03600734843845683,0.04543784445805266,0.07091243110838946,0.11463563992651561,0.09969381506429884,0.05303123086344152,0.032088181261481934,0.02535211267605634,0.019350887936313534,0.014084507042253521
piccadilly circus,0.011003302702055205,0.0018053630405393843,0.0,0.0,0.0,0.0011123089823228433,0.008051405787429198,0.025933911734004143,0.055829354689665794,0.05811386621489809,0.038023854749559355,0.03799818608073652,0.04436401594879956,0.047033557506374384,0.05115765696390985,0.05876413915840991,0.07135034310453993,0.10639663227065044,0.11425124493043791,0.07046049591868166,0.05167958656330749,0.050746958262744495,0.06044115885483512,0.0354826565360987
pimlico,0.005379388448471121,0.0008776896942242356,0.0,0.0,0.0,0.002491506228765572,0.015345413363533409,0.060560588901472256,0.12610419026047565,0.09498867497168743,0.04997168742921857,0.039071347678369193,0.04136466591166478,0.043091732729331825,0.04360135900339751,0.05617214043035108,0.07851075877689694,0.10169875424688561,0.0868629671574179,0.05198187995469988,0.034314835787089465,0.027378255945639866,0.02398074745186863,0.01625141562853907
pinner,0.00656984785615491,0.00025933609958506224,0.0,0.0,0.0,0.005273167358229599,0.034837482710926695,0.15136583679114798,0.13321230982019364,0.0455567081604426,0.02602005532503458,0.024723374827109266,0.025587828492392807,0.02584716459197787,0.027403181189488243,0.044432918395574,0.07313278008298756,0.09154564315352696,0.11237897648686031,0.07512102351313969,0.03310857538035961,0.020919778699861686,0.020660442600276625,0.022043568464730292
plaistow,0.009524299835255354,0.0009266886326194399,0.0,0.0,0.0,0.019254530477759473,0.06389003294892916,0.08633649093904448,0.10116350906095552,0.06322075782537068,0.03711902800658978,0.032691515650741354,0.032485584843492586,0.03526565074135091,0.038406095551894566,0.05328459637561779,0.0745984349258649,0.09483113673805602,0.0874176276771005,0.05596169686985173,0.03747940691927512,0.0294995881383855,0.025741350906095552,0.020901976935749588
preston road,0.00867715865589111,0.00034028073160357296,0.0,0.0,0.0,0.011484474691620587,0.06116546150574224,0.10038281582305401,0.1348362398979158,0.06337728626116546,0.03794130157379838,0.030625265844321566,0.030625265844321566,0.03283709059974479,0.03462356444066355,0.04831986388770736,0.06805614632071459,0.08915355168013611,0.09672479795831561,0.057422373458102936,0.03283709059974479,0.02330923011484475,0.021097405359421523,0.016163334751169715
putney bridge,0.007434066906602159,0.0002950026550238952,0.0,0.0,0.0,0.002655023895215057,0.021830196471768246,0.08891380022420202,0.11876806891262022,0.06914862233760104,0.03728833559502036,0.034692312230810075,0.037170334533010795,0.0368753318779869,0.0382913446221016,0.04714142427281846,0.067555608000472,0.10844297598678389,0.10661395952563574,0.06289456605109446,0.035577320195881765,0.028497256475308277,0.028025252227270047,0.021889197002773024
queen s park,0.009604829857299671,0.0,0.0,0.0,0.0,0.004665203073545554,0.02096597145993414,0.07409440175631174,0.12085620197585072,0.08556531284302964,0.03605927552140505,0.027387486278814488,0.027387486278814488,0.03523600439077936,0.035949506037321624,0.042810098792535674,0.06097694840834248,0.08380900109769485,0.09791437980241492,0.07327113062568606,0.0517563117453348,0.04006586169045005,0.043413830954994514,0.028210757409440176
queensbury,0.005766780661168108,0.0011399450144169516,0.0,0.0,0.0,0.023938845302755984,0.12405283980419768,0.10138805069402534,0.09428015825119024,0.040501575806343455,0.023670622946422585,0.02186012204117213,0.022731844699255682,0.023335345001005835,0.02735868034600684,0.03674646281767585,0.06363575404009925,0.10715483135519345,0.12800911956011535,0.0669214779051834,0.0322537383490914,0.023201233822839135,0.019446120834171528,0.012606450747669818
queensway,0.01188012252669923,0.0018627369815382069,0.0,0.0,0.0,0.00177994867124762,0.0165162679029721,0.04458150509148108,0.07960096034439937,0.07347462538289594,0.05737229903137677,0.0457405414355493,0.04408477522973756,0.047106548555343984,0.05070784005298452,0.057248116565940886,0.06846593261031543,0.08208460965311698,0.08676214918453515,0.06453348787151254,0.04706515440019869,0.04052487788724232,0.04271876810994288,0.035888732510969454
